VRSTA SMJESTAJA,PODRUCJE,LOKACIJA,BROJ SPAVACIH SOBA,BROJ KUPATILA,CIJENA,STAMBENA POVRSINA,ZEMLJISTE,PARKING MJESTA,OD MORA,NOVOGRADNJA,KLIMA,NASLOV,OPIS,OGLASIO,MOBILNI,BROJ OGLASA,ZADNJA PROMJENA,SLIKE,URL
Prodajem Hotel,Budva Okolina,Bečići,Nema Podataka,Nema Podataka,€1.200.000,800 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići, Budva Okolina, €1.200.000","K4-116 Hotel sa bazenom u Bečićima, CRNA GORA Hitna prodaja!",https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2317744 (2751),"5 Jan, 2021","/c_images/2317744_1_832c0048_2.jpg-itok-Cpw9fGfO,/c_images/2317744_2_832c0026_-_kopiya.jpg-itok-YD4Pmp6S,/c_images/2317744_3_832c0029.jpg-itok-zAsH2r6d,/c_images/2317744_4_832c0032_-_kopiya.jpg-itok-K-28kQ-g",https://www.realitica.com/hr/listing/2317744
Prodajem Hotel,Kotor,Prčanj,Nema Podataka,Nema Podataka,€1.700.000,100 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Prčanj, Kotor, €1.700.000","K4-115 Na prodaju prijatna kafana na obali Boke Kotorske, Crna Gora.",https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2146571 (2713),"5 Jan, 2021","/c_images/2146571_1_55668_0.jpg-itok-IoJSwhqp,/c_images/2146571_2_1_592.jpg-itok-pPGxOSOO,/c_images/2146571_3_2_388.jpg-itok-KegiyXOH,/c_images/2146571_4_3_390.jpg-itok-lH9A_iPB",https://www.realitica.com/hr/listing/2146571
Prodajem Hotel,Budva Okolina,Bečići,5,5,€850.000,300 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići, Budva Okolina, €850.000","K4-110 Na prodaju je hotel površine 300 m2, na parceli od oko 300 m2.",https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2146547 (2659),"5 Jan, 2021","/c_images/2146547_1_d_0a47ce4a-edc9-46a9-9f34-73ac8d7737f9_1_0.jpg-itok-fS8YFtxx,/c_images/2146547_2_cid_17b4fe27-1105-4816-af1c-42c4714a0d70_1.jpg-itok-VfAMfpug,/c_images/2146547_3_cid_32d80eee-dab4-4249-a572-1aa12e7cdd98_1.jpg-itok-BXFTjoHy,/c_images/2146547_4_cid_33ec09dc-c393-4c86-810e-7db3dc43b72e.jpg-itok-O84682XK",https://www.realitica.com/hr/listing/2146547
Prodajem Hotel,Budva,Nema Podataka,Nema Podataka,Nema Podataka,€3.500.000,823 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Budva, €3.500.000","K4-109 Prodaje se hotel sa 13 soba visoke kategorije smeštene na četiri sprata, sa pogledom na more, od čega 9 dvokrevetnih soba sa pomoćnim ležajevima i 4 studio apartmana.",https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2146495 (2509),"5 Jan, 2021","/c_images/2146495_1_img_5667_0.jpg-itok-Nx4JxrWn,/c_images/2146495_2_img_5666.jpg-itok-CHS_fVOA,/c_images/2146495_3_img_5696.jpg-itok-pB5L6lym,/c_images/2146495_4_img_5670.jpg-itok-L2khg74Y",https://www.realitica.com/hr/listing/2146495
Prodajem Hotel,Budva,Centar,Nema Podataka,Nema Podataka,€900.000,417 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Centar, Budva, €900.000",K4-104 Na prodaju hotel u centru Budve,https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2146300 (1952),"5 Jan, 2021","/c_images/2146300_1_1c14e16e-ef7a-4c94-a13a-17a0f79bffb301_0.jpg-itok-QZmmMUtc,/c_images/2146300_2_6a61a0-71a9-46fd-b3bc-70107556c132dsc_2021.jpg-itok-hiGg_L2y,/c_images/2146300_3_e2fd30-b2a5-46af-8581-e1659677a3aadsc_1995.jpg-itok-daVqb5BB,/c_images/2146300_4_f60304-9cd8-4a5e-bc9d-46a0a78c3a06dsc_1926.jpg-itok-i8Z63e6O",https://www.realitica.com/hr/listing/2146300
Prodajem Hotel,Budva Okolina,Bečići,Nema Podataka,Nema Podataka,€1.500.000,600 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bečići, Budva Okolina, €1.500.000",K4-101 Prodaje se prelep hotel u Becicima . ,https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2404675 (1877),"5 Jan, 2021","/c_images/2404675_1_111111_1_2.jpg-itok-SFuyQNql,/c_images/2404675_2_111111_2_1.jpg-itok-vkzX3S9o,/c_images/2404675_3_111111_3_1.jpg-itok-4OTHRPTT,/c_images/2404675_4_111111_4_1.jpg-itok-FZWCjFfl",https://www.realitica.com/hr/listing/2404675
Prodajem Hotel,Budva,Nema Podataka,Nema Podataka,Nema Podataka,€850.000,490 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Budva, €850.000","K4-017 Hotel na prodaju u Budvi, Crna Gora.",https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2146076 (761),"5 Jan, 2021","/c_images/2146076_1_20_24.jpg-itok-kCDuGE4c,/c_images/2146076_2_18_33.jpg-itok-Haj6dPoN,/c_images/2146076_3_17_43.jpg-itok-sv5LC8v4,/c_images/2146076_4_16_64.jpg-itok-7miIsjtX",https://www.realitica.com/hr/listing/2146076
Prodajem Hotel,Budva,Nema Podataka,Nema Podataka,Nema Podataka,€650.000,340 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Budva, €650.000","K4-015 Hotel na prodaju u Budvi, Crna Gora.",https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2146071 (752),"5 Jan, 2021","/c_images/2146071_1_1_436.jpg-itok-kPVdawvQ,/c_images/2146071_2_2_284.jpg-itok-jRMVJg2i,/c_images/2146071_3_3_279.jpg-itok-gPDWXuTN,/c_images/2146071_4_4_262.jpg-itok-14A3uc3L",https://www.realitica.com/hr/listing/2146071
Prodajem Hotel,Žabljak,Nema Podataka,Nema Podataka,Nema Podataka,€350.000,350 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Žabljak, €350.000",K4-032 Na prodaju mini hotel površine 350 m2 nalazi se na parceli od 300 m2.,https://luxestate-montenegro.com/pr...Luxestate,+38268803380,2146063 (743),"5 Jan, 2021","/c_images/2146063_1_1_432.jpg-itok-M63ACcyw,/c_images/2146063_2_2_282.jpg-itok-CN-tu6WU,/c_images/2146063_3_3_277.jpg-itok-j4uWOIEf,/c_images/2146063_4_4_260.jpg-itok-3deQUq5c",https://www.realitica.com/hr/listing/2146063
Prodajem Hotel,Herceg Novi,Kumbor,Nema Podataka,Nema Podataka,"€170.000
									",Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Kumbor, Herceg Novi, €170.000","Vila je u izgradnji i odlična je prilika za ulaganje. Stanovi se već mogu prodavati tokom faze izgradnje. Objekat takođe možete smatrati kao mini-hotel sa 10 apartmana. Vila se nalazi neposredno iznad kompleksa jahti ""Porto Novi"", 5 minuta od mora. Svi apartmani imaju pogled na more. Panoramski pogled na ceo Bokokotorski zaliv. Vila ima 3 parking mesta: zatvorena garaža (4 mesta), donji ulični parking (4 mesta), gornji ulični parking (6 mesta).",https://westhill.me/cr/object/4522Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415564 (4522),"29 Nov, 2020","/c_images/2415564_1_big_2.jpg,/c_images/2415564_2_big_4.jpeg,/c_images/2415564_3_big_8.jpeg,/c_images/2415564_4_big_10.jpeg",https://www.realitica.com/hr/listing/2415564
Prodajem Hotel,Žabljak,Nema Podataka,12,Nema Podataka,€370.000,510 m,1.400 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Žabljak, €370.000",Prodaja 6 kuća u neverovatnom skijalištu - Žabljak.,https://westhill.me/cr/object/4723Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2454212 (4723),"26 Nov, 2020","/c_images/2454212_1_big_westhill-4723-004.jpg,/c_images/2454212_2_big_westhill-4723-009.jpg,/c_images/2454212_3_big_westhill-4723-010.jpg,/c_images/2454212_4_big_westhill-4723-007.jpg",https://www.realitica.com/hr/listing/2454212
Prodajem Hotel,Kolašin,Nema Podataka,14,Nema Podataka,€900.000,502 m,404 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Kolašin, €900.000",Hotel se nalazi samo 100 metara od glavnog gradskog trga 502 m2 na parceli od 404 m2 sa parkingom.,https://westhill.me/cr/object/3944Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415370 (3944),"23 Nov, 2020","/c_images/2415370_1_big_1.jpg,/c_images/2415370_2_big_2.jpg,/c_images/2415370_3_big_5.jpg,/c_images/2415370_4_big_6.jpg",https://www.realitica.com/hr/listing/2415370
Prodajem Hotel,Tivat,Porto Montenegro,1,Nema Podataka,€600.000,21 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Porto Montenegro, Tivat, €600.000","Soba uključuje mogućnost da rezident koristi cjelokupnu infrastrukturu Regent - Porto Montenegro u skladu s utvrđenim pravilima. Možete ga koristiti sami ili unajmiti putem hotelskog rezervacijskog sustava ili ga dati na vaš zahtjev.

",https://westhill.me/cr/object/2550Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2449806 (2550),"20 Nov, 2020","/c_images/2449806_1_big_IMG_7958.JPG,/c_images/2449806_2_big_IMG_7973.JPG,/c_images/2449806_3_big_IMG_7975.JPG,/c_images/2449806_4_big_IMG_7971.JPG",https://www.realitica.com/hr/listing/2449806
Prodajem Hotel,Tivat,Nema Podataka,5,Nema Podataka,€990.000,600 m,440 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Tivat, €990.000","Hotel sa 5 apartmana sa 1 i 2 spavaće sobe, površine 90-100 m2, nalazi se na mirnoj lokaciji, 600 metara od šljunčane plaže i 1 km od centra grada i aerodroma Tivat.",https://westhill.me/cr/object/2504Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2413049 (2504),"20 Nov, 2020","/c_images/2413049_1_big_76826675.jpg,/c_images/2413049_2_big_vilavukovic04.jpg,/c_images/2413049_3_big_76826794.jpg,/c_images/2413049_4_big_76826842.jpg",https://www.realitica.com/hr/listing/2413049
Prodajem Hotel,Bar,Šušanj,12,Nema Podataka,€380.000,604 m,408 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Šušanj, Bar, €380.000","Na ovom imanju od 408m2 nalaze se dva objekta - velika kuća preko 564m2 i mala od 40m2 sa apartmanima, sobama i poslovnim prostorima, ova kuća nudi izvrsnu priliku za poslovanje tokom ljeta ali i tokom cijele godine. Takođe se može iznajmiti ili koristiti kao udoban porodični dom.",https://westhill.me/cr/object/4694Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2448451 (4694),"19 Nov, 2020","/c_images/2448451_1_big_westhill-4694-024.JPG,/c_images/2448451_2_big_westhill-4694-026.JPG,/c_images/2448451_3_big_westhill-4694-006.JPG,/c_images/2448451_4_big_westhill-4694-002.JPG",https://www.realitica.com/hr/listing/2448451
Prodajem Hotel,Kotor,Perast,7,Nema Podataka,€850.000,250 m,400 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Perast, Kotor, €850.000","Hotel ima vlastiti pristup iz mora i dolasci s ceste s vlastitim velikim parkiralištem. Hotel ima 6 soba s pogledom i jedan apartman s pogledom i dvije spavaće sobe. Dobra dorada i prekrasan pogled na more, vlastitu kuću.

",https://westhill.me/cr/object/2551Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2444196 (2551),"15 Nov, 2020","/c_images/2444196_1_big_IMG_7687.JPG,/c_images/2444196_2_big_IMG_7684.JPG,/c_images/2444196_3_big_IMG_7686.JPG,/c_images/2444196_4_big_IMG_7689.JPG",https://www.realitica.com/hr/listing/2444196
Prodajem Hotel,Bar,Dobre Vode,Nema Podataka,Nema Podataka,"€370.000
									",Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode, Bar, €370.000","Udaljen 15min voznje od centra grada, nalazi se u blizini glavnog puta.",https://barnekretnine.me/property/m...Bar Nekretnine,+382 69 348 793,2241310,"22 Oct, 2020",/c_images/2241310_1_1973-Stan-2-1.jpg,https://www.realitica.com/hr/listing/2241310
Prodajem Hotel,Bar,Dobre Vode,Nema Podataka,Nema Podataka,"€290.000
									",Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode, Bar, €290.000","Kuća ima solarni panel za grejanje vode, veliki stan takođe ima i grejanje vodom.",https://barnekretnine.me/property/m...Bar Nekretnine,+382 69 348 793,2243485,"22 Oct, 2020",/c_images/2243485_1_1683-Dobra-Voda-11-1.jpg,https://www.realitica.com/hr/listing/2243485
Prodajem Hotel,Bar,Dobre Vode,10,Nema Podataka,€740.000,1.000 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode, Bar, €740.000","Nova 10 apartmanska kuća sa podzemnom garažom, bazenom i liftom, nalazi se u gradu Dobra Voda, samo 250 metara od središnje gradske plaže i hotela Kalamber ****.",https://westhill.me/cr/object/4579Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2425486 (4579),"21 Oct, 2020","/c_images/2425486_1_big_westhill-4579-003_1_1.jpg,/c_images/2425486_2_big_westhill-4579-006_1.jpg,/c_images/2425486_3_big_westhill-4579-001_1.jpg,/c_images/2425486_4_big_westhill-4579-008_1_1.jpg",https://www.realitica.com/hr/listing/2425486
Prodajem Hotel,Herceg Novi,Kumbor,5,Nema Podataka,€600.000,300 m,400 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Kumbor, Herceg Novi, €600.000","Mini hotel na prvoj liniji se nalazi u Kumboru, 2* površina prostora je 300m2. Na plaži se nalazi plac od 200m2, sa dozvolom za otvaranje kafića. Vila je za 20 gostiju. Vila ima: 3 terase; 4 dvosobna stana 60m2, 35m2 (kamin), 31m2, 24m2; 1 garsonjera 22m2. Apartmani imaju: spavaću sobu, dnevnu kuhinju, kupatilo sa toplim podom, klima uređaj, TV-SAT, internet Vi-Fi, sef, video nadzor on-line. Gradski telefon. Mesto za parkiranje jahte na marini. Gradske komunikacije: kanalizacija i vodovod.

",https://westhill.me/cr/object/1138Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2412772 (1138),"20 Oct, 2020","/c_images/2412772_1_53625883e91f7.JPG,/c_images/2412772_2_5362587f79b1c.JPG,/c_images/2412772_3_53625885c6033.JPG,/c_images/2412772_4_53625887948b5.JPG",https://www.realitica.com/hr/listing/2412772
Prodajem Hotel,Bar,Sutomore,17,17,€375.000,399 m,955 m,Nema Podataka,"200
									",Nema Podataka,Nema Podataka,"Hotel sa 17 soba na prodaju, Sutomore.","Hotel sa 17 soba na prodaju, Sutomore.",https://barnekretnine.me/property/c...Bar Nekretnine,+382 69 348 793,1942590,"19 Oct, 2020",/c_images/1942590_1_Sutomore-hotel-Montenegro-3-1.jpg,https://www.realitica.com/hr/listing/1942590
Prodajem Hotel,Bar,Dobre Vode,Nema Podataka,Nema Podataka,"€1.200.000
									",Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode, Bar, €1.200.000","Na prodaju hotel koji je u funkciji, samo 200m od mora. Hotel poseduje parking i restoran. Tri zvjezde.",https://barnekretnine.me/property/h...Bar Nekretnine,+382 69 348 793,2238923,"13 Oct, 2020",/c_images/2238923_1_10242-4-1.jpg,https://www.realitica.com/hr/listing/2238923
Prodajem Hotel,Herceg Novi,Kumbor,9,Nema Podataka,€750.000,600 m,300 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Kumbor, Herceg Novi, €750.000","Novoizgrađeni mini hotel površine 600 m2 koji se nalazi u Kumboru, 150 metara od mora. Sastoji se od 9 soba, 4 sobe sa 1 spavaćom sobom i 5 soba sa 2 spavaće sobe. Svi apartmani imaju pogled na more. Parking za 6 automobila ispred kuće. površina zemljišta 300 m2. Zgrada se nalazi u blizini novog luksuznog jahtskog kompleksa Porto Novi sa razvijenom infrastrukturom.

",https://westhill.me/cr/object/4461Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415527 (4461),"9 Oct, 2020","/c_images/2415527_1_big_IMG_3640.JPG,/c_images/2415527_2_big_IMG_3639.JPG,/c_images/2415527_3_big_IMG_3636.JPG,/c_images/2415527_4_big_IMG_3637.JPG",https://www.realitica.com/hr/listing/2415527
Prodajem Hotel,Bar,Nema Podataka,10,Nema Podataka,€350.000,470 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Bar, €350.000",Hotel 450 metara od mora.,https://westhill.me/cr/object/4138Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415491 (4138),"9 Oct, 2020","/c_images/2415491_1_big_IMG-9baa0ca8bab26d7313e7a8f15aff99d0-V.jpg,/c_images/2415491_2_big_IMG-0ccd3a8fdf212accca1a7a7d8fb96b4b-V.jpg,/c_images/2415491_3_big_IMG-272dbb4c3130ad6b2e56415ee638f901-V.jpg,/c_images/2415491_4_big_IMG-9c172bde896a34fd651fc4858083d57d-V.jpg",https://www.realitica.com/hr/listing/2415491
Prodajem Hotel,Kotor,Prčanj,6,Nema Podataka,€1.070.000,454 m,267 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Prčanj, Kotor, €1.070.000","Stambeni kompleks sastoji se od 6 stanova od po 68 m2, dva stana po katu, a zgrada takođe ima prizemlje od 46 m2.",https://westhill.me/cr/object/4044Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415435 (4044),"9 Oct, 2020","/c_images/2415435_1_big_DSC09209.JPG,/c_images/2415435_2_big_DSC09253.JPG,/c_images/2415435_3_big_DSC09236.JPG,/c_images/2415435_4_big_DSC09213.JPG",https://www.realitica.com/hr/listing/2415435
Prodajem Hotel,Bar,Sutomore,8,Nema Podataka,€1.600.000,630 m,1.150 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Sutomore, Bar, €1.600.000",Prodaje se hotel površine 630 m2 na zemljištu od 1150 m2 u poznatom turističkom naselju - Sutomore.,https://westhill.me/cr/object/4034Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415433 (4034),"9 Oct, 2020","/c_images/2415433_1_big_1.jpg,/c_images/2415433_2_big_5.jpg,/c_images/2415433_3_big_4.jpg,/c_images/2415433_4_big_3.jpg",https://www.realitica.com/hr/listing/2415433
Prodajem Hotel,Podgorica,Nema Podataka,8,Nema Podataka,€450.000,260 m,400 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Podgorica, €450.000","Hostel sa 7 soba, 3 kupaonice, 2 velika hodnika (ukupna površina kuće 210m2) + 50 m2 (dvosoban stan sa kupaonicom) na parceli od 400 m2.",https://westhill.me/cr/object/4026Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415427 (4026),"9 Oct, 2020","/c_images/2415427_1_big_146234240.jpg,/c_images/2415427_2_big_173388450.jpg,/c_images/2415427_3_big_173388756.jpg,/c_images/2415427_4_big_177333030.jpg",https://www.realitica.com/hr/listing/2415427
Prodajem Hotel,Budva,Nema Podataka,20,Nema Podataka,€600.000,1.680 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Budva, €600.000","Postoji građevinska dozvola, računi za komunalne usluge plaćeni.",https://westhill.me/cr/object/4023Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415404 (4023),"9 Oct, 2020","/c_images/2415404_1_big_20190921_120153.jpg,/c_images/2415404_2_big_20190921_120127.jpg,/c_images/2415404_3_big_20190921_120140.jpg,/c_images/2415404_4_big_20190921_120114.jpg",https://www.realitica.com/hr/listing/2415404
Prodajem Hotel,Kotor,Orahovac,8,Nema Podataka,€700.000,900 m,13.600 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Orahovac, Kotor, €700.000","Hitna prodaja, Hotel - prva linija do mora. Moderan i moderan dizajn, prostrani, svetli apartmani.",https://westhill.me/cr/object/3978Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415394 (3978),"9 Oct, 2020","/c_images/2415394_1_big_IMG-20190810-WA0014.jpg,/c_images/2415394_2_big_IMG-20190810-WA0005.jpg,/c_images/2415394_3_big_IMG-20190810-WA0006.jpg,/c_images/2415394_4_big_IMG-20190810-WA0009.jpg",https://www.realitica.com/hr/listing/2415394
Prodajem Hotel,Herceg Novi,Kamenari,7,Nema Podataka,€990.000,400 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Kamenari, Herceg Novi, €990.000",Prodaje se hotel površine 400 m2 u Kamenarima,https://westhill.me/cr/object/3975Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415393 (3975),"9 Oct, 2020","/c_images/2415393_1_big_002.jpg,/c_images/2415393_2_big_7-96.jpg,/c_images/2415393_3_big_7968062.jpg,/c_images/2415393_4_big_3314.jpg",https://www.realitica.com/hr/listing/2415393
Prodajem Hotel,Herceg Novi,Igalo,15,Nema Podataka,€1.320.000,550 m,600 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Igalo, Herceg Novi, €1.320.000",Površina objekta je 550 m2.,https://westhill.me/cr/object/3965Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415384 (3965),"9 Oct, 2020","/c_images/2415384_1_big_2.jpg,/c_images/2415384_2_big_43.jpg,/c_images/2415384_3_big_544.jpg,/c_images/2415384_4_big_5.jpg",https://www.realitica.com/hr/listing/2415384
Prodajem Hotel,Budva,Nema Podataka,8,Nema Podataka,€570.000,320 m,500 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Budva, €570.000",Na prodaju hotel u centru Budve.,https://westhill.me/cr/object/4157Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415345 (4157),"9 Oct, 2020","/c_images/2415345_1_big_FB_IMG_1579004949282_1.jpg,/c_images/2415345_2_big_FB_IMG_1579004959049_1.jpg,/c_images/2415345_3_big_FB_IMG_1579005046714_1.jpg,/c_images/2415345_4_Screenshot_2020-01-14-13-29-32-232_com.facebook.katana_1.jpg",https://www.realitica.com/hr/listing/2415345
Prodajem Hotel,Bar,Dobre Vode,3,Nema Podataka,€190.000,176 m,203 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode, Bar, €190.000","Zgrada se sastoji od tri etaže, ukupne površine zgrade je 176 m2, plus dodatna polu-podrumska soba i praonica iza zgrade, vila se nalazi na parceli od 203 m2.",https://westhill.me/cr/object/3826Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2415334 (3826),"9 Oct, 2020","/c_images/2415334_1_big_61772464_329569741267598_4857121997571751936_n.jpg,/c_images/2415334_2_big_4.jpg,/c_images/2415334_3_big_61451611_329568841267688_3256130705574330368_o.jpg,/c_images/2415334_4_big_61466590_329570131267559_6804572714901176320_o.jpg",https://www.realitica.com/hr/listing/2415334
Prodajem Hotel,Bar,Dobre Vode,15,Nema Podataka,€1.100.000,1.250 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode, Bar, €1.100.000",Prodaje se hotel površine 1250 m2 u neposrednoj blizini mora.,https://westhill.me/cr/object/3773Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2414355 (3773),"8 Oct, 2020","/c_images/2414355_1_big_gf.jpg,/c_images/2414355_2_big_32.jpg,/c_images/2414355_3_big_33.jpg,/c_images/2414355_4_big_11.jpg",https://www.realitica.com/hr/listing/2414355
Prodajem Hotel,Bar,Utjeha,13,Nema Podataka,€900.000,1.100 m,1.440 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Utjeha, Bar, €900.000","Površina četvorospratnog hotela je 1100 m2, broj soba je 11 jednokrevetnih, 2 dvosobna.",https://westhill.me/cr/object/3724Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2414329 (3724),"8 Oct, 2020","/c_images/2414329_1_big_26282436.jpg,/c_images/2414329_2_big_36010582.jpg,/c_images/2414329_3_big_36010587.jpg,/c_images/2414329_4_big_36010617.jpg",https://www.realitica.com/hr/listing/2414329
Prodajem Hotel,Kotor,Prčanj,9,Nema Podataka,€1.050.000,161 m,427 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Prčanj, Kotor, €1.050.000",Struktura:,https://westhill.me/cr/object/4109Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2414317 (4109),"8 Oct, 2020","/c_images/2414317_1_big_kjuyhgf.jpg,/c_images/2414317_2_big_orijfk.jpg,/c_images/2414317_3_big_uytfgyhuj.jpg,/c_images/2414317_4_big_676.jpg",https://www.realitica.com/hr/listing/2414317
Prodajem Hotel,Kotor,Perast,133,Nema Podataka,Nema Podataka,2.000 m,1.200 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Perast, Kotor",Nudimo Vam:,https://westhill.me/cr/object/3618Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2414265 (3618),"8 Oct, 2020",/c_images/2414265_1_big_3.jpg,https://www.realitica.com/hr/listing/2414265
Prodajem Hotel,Bar,Dobre Vode,13,Nema Podataka,€2.700.000,656 m,332 m,Nema Podataka,Nema Podataka,Nema Podataka,Nema Podataka,"Prodajem Hotel, Dobre Vode, Bar, €2.700.000","Površina hotela je 656 m2, površina zemljišta 332 m2.",https://westhill.me/cr/object/4115Westhill Property - Profesionalna Agencija Za Promet Nekretnine.,+382 69 416 426,2414248 (4115),"8 Oct, 2020","/c_images/2414248_1_big_IMG-b50b2285d4dd330da532902734ff718d-V.jpg,/c_images/2414248_2_big_IMG-d9ed91bf56a81a60a31fa9a5fe633859-V.jpg,/c_images/2414248_3_big_IMG-cf0a8aa0edac31d4bcbd51cd3aa3914b-V.jpg,/c_images/2414248_4_big_IMG-f26182f094bfecdae5ed8e47b0a4d1db-V.jpg",https://www.realitica.com/hr/listing/2414248
